t,x_L,x_R
4.25,0.6129475116625163,-0.5130226590009945
4.255,0.4601955358466969,-0.36154396801406996
4.26,0.3044085911571761,-0.20362339246676311
4.265,0.14410138009881102,-0.042129127097048656
4.2700000000000005,-0.016136672489050582,0.12194585822326057
4.275,-0.17496558247838115,0.28136742192145275
4.28,-0.3314709002347667,0.4336468488960584
4.285,-0.4859468705861207,0.5832627181615196
4.29,-0.6271213101101325,0.7213177079697605
4.295,-0.7575650679068631,0.8405453893325838
4.3,-0.8786361501319184,0.9506668154068841
4.305,-0.9899074448437903,1.0435146845485486
4.3100000000000005,-1.0879083207370324,1.1235333842450657
4.315,-1.1659976972473307,1.1940977155068009
4.32,-1.2219688151926624,1.2360534848960738
4.325,-1.2553135696061635,1.2640583021417569
4.33,-1.2712200458627347,1.2730309033583027
4.335,-1.2684168120472856,1.2494461044268546
4.34,-1.2418458321388681,1.2149699065624304
4.345,-1.2032070345187615,1.161255967100457
4.3500000000000005,-1.1369842453148096,1.0874538191601177
4.355,-1.0508664685766027,0.9948259671424801
4.36,-0.9538356585032144,0.8905278206166188
4.365,-0.8390903008441747,0.7707844885801041
4.37,-0.7123572541860097,0.6400157935173267
4.375,-0.5753088379431747,0.491830991856051
4.38,-0.4248695554606909,0.34354025706913943
4.385,-0.27627249159239864,0.18942448013532598
4.39,-0.11769706559843564,0.029793852375768867
4.3950000000000005,0.04105755373041351,-0.13474265250785852
4.4,0.19809768246273948,-0.2975320678809306
4.405,0.35318231372181,-0.4462189014463986
4.41,0.4988716081526652,-0.5922083913005721
4.415,0.6423665969391922,-0.7273964518016407
4.42,0.7725207911084001,-0.8560237361542882
4.425,0.891330273168721,-0.9671420199954571
4.43,0.993673225598398,-1.0662811685063003
4.4350000000000005,1.085612424887887,-1.1509767561724602
4.44,1.1542737578639333,-1.2153198805055394
4.445,1.21093098956757,-1.2554700248383008
4.45,1.2443395997747506,-1.2764690106093226
4.455,1.26007806333805,-1.2831244703066538
4.46,1.2513430772857765,-1.2660701295657222
4.465,1.226742249493062,-1.230850579045363
4.47,1.1828465610389434,-1.179020233574254
4.4750000000000005,1.1162622215800648,-1.0993802973362268
4.48,1.0371484408752245,-1.0043759245752786
4.485,0.9363328951765967,-0.8933551945952876
4.49,0.8203049282694751,-0.7691102328755669
4.495,0.697344555420906,-0.6352627503629287
4.5,0.5608632982557205,-0.4886126981322453
4.505,0.41612946419235175,-0.33938209221112475
4.51,0.2600325286164264,-0.1820759912382025
4.515,0.10462416946010404,-0.025897907578009787
4.5200000000000005,-0.054379033482970025,0.13918932296787945
4.525,-0.20965094603762757,0.2949556212728908
4.53,-0.36475103896574856,0.4534321703390423
4.535,-0.5160492639759037,0.5960037715554319
4.54,-0.6569540763826387,0.7295142890954506
4.545,-0.7874440896346779,0.8621039422596339
4.55,-0.9008932706739385,0.9744108131218355
4.555,-1.006602915485722,1.0641816873674361
4.5600000000000005,-1.0915548390887029,1.1483471737292428
4.565,-1.1605649566681917,1.2105596551102984
4.57,-1.2127815470123937,1.2566076193854558
4.575,-1.2416362248118151,1.2798596640949993
4.58,-1.2547941288287405,1.2847920945905884
4.585,-1.2437212779263964,1.272773902364841
4.59,-1.2144463377078898,1.234634460055187
4.595,-1.16220276658228,1.1812085278936062
4.6000000000000005,-1.0999291999540541,1.1075697509611173
4.605,-1.012069028658073,1.0176521457750094
